Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Jordan,22372150543,22780195392,27033813429,28286163975,29695980651,31531263993,32188846435,33247453625,34243585114,35410783457,36912136043,38857911544,41108711582,42820376271,46486972642,50282066919,54351561110,58795192030,63047500485,66500347949,68054348230,69797089967,71647552754
Japan,3650000000000,3770000000000,3800000000000,3810000000000,3840000000000,3920000000000,4020000000000,4080000000000,4000000000000,3990000000000,4080000000000,4100000000000,4110000000000,4180000000000,4280000000000,4330000000000,4410000000000,4500000000000,4460000000000,4210000000000,4410000000000,4390000000000,4460000000000
Kazakhstan,208000000000,185000000000,175000000000,159000000000,139000000000,128000000000,128000000000,131000000000,128000000000,132000000000,144000000000,164000000000,180000000000,197000000000,216000000000,237000000000,262000000000,285000000000,295000000000,298000000000,320000000000,344000000000,361000000000
Kenya,55707556395,56508824245,56057039608,56255031534,57736105295,60280083108,62779801265,63077943747,65153342908,66655380645,67055109891,69589730346,69970288418,72022150016,75698376458,80169626784,85244871477,91206288418,91418144889,94441287921,102000000000,109000000000,114000000000
Kyrgyzstan,15257961991,14060049352,12107290040,10235584777,8179751318,7736096175,8284160096,9105548520,9298753259,9638696095,10161756688,10702523141,10700665928,11452954420,12257737458,12236219224,12615896710,13693656983,14844145454,15272591237,15200570760,16105958461,16091761028
Cambodia,7356027207,8276720872,9197414537,10118108202,11038801867,11750021141,12385972162,13082038149,13737321724,15373403487,16721156786,18065308984,19273495323,20912879329,23075381623,26132889431,28947685730,31903988922,34038869058,34068379722,36099903974,38652011936,41478767114
Kiribati,103234912,98777540,101921646,105464323,110627801,109554435,116255257,122731333,136209081,136412767,149380965,150431488,151300388,157398173,162391615,162108928,154801168,166436711,171020775,169883450,169033493,173665024,178545034
Saint Kitts & Nevis,582214783,584503939,603846539,644048782,676923061,701751440,747669839,798288375,807417811,849489362,869269359,912560887,929329329,905642432,947348570,1035060728,1095976282,1127018458,1173549494,1107850331,1072099915,1090273273,1076909815
"Korea, Rep. (South)",518000000000,568000000000,601000000000,639000000000,695000000000,757000000000,812000000000,859000000000,810000000000,897000000000,976000000000,1020000000000,1100000000000,1130000000000,1180000000000,1230000000000,1290000000000,1360000000000,1400000000000,1410000000000,1500000000000,1560000000000,1600000000000
Kosovo,1507534429,1507534429,1507534429,1507534429,1507534429,1507534429,1507534429,1507534429,3638972968,5770411507,7901850046,10033288585,9962960421,10558759959,10834568154,11488242543,12005561753,12880296945,13220957441,13662757619,14114936807,14733959220,15139830902
Kuwait,26942789530,56295193020,85647596510,115000000000,124000000000,130000000000,131000000000,135000000000,139000000000,137000000000,143000000000,144000000000,149000000000,175000000000,193000000000,213000000000,229000000000,243000000000,249000000000,231000000000,225000000000,247000000000,264000000000
