Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Guinea,GIN,"Population, total",SP.POP.TOTL,6034082,6367110,6751394,7155564,7536389,7863033,8124799,8331366,8497582,8647336,8799165,8955756,9114287,9281572,9464771,9669023,9898301,10152521,10427356,10715770,11012406,11316351,11628767
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,916811,949490,979701,1008296,1036627,1065746,1095839,1126786,1159001,1192920,1228863,1267103,1307674,1350345,1394727,1440542,1487731,1536424,1586749,1638899,1693002,1749099,1807108
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1056208,1080191,1104708,1129706,1155111,1180877,1207006,1233520,1260424,1287727,1315455,1343646,1372367,1401716,1431816,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,377363,390381,404081,418409,433197,448332,463844,479836,496330,513347,530896,549007,567664,586772,606201,625866,645718,665798,686223,707155,728710,750918,773729
Greece,GRC,"Population, total",SP.POP.TOTL,10156902,10256292,10369866,10465528,10553035,10634385,10709173,10776504,10834880,10882580,10917482,10951764,10983723,11018324,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771
Grenada,GRD,"Population, total",SP.POP.TOTL,96286,96455,97201,98302,99403,100253,100796,101125,101302,101441,101620,101849,102100,102371,102657,102951,103259,103587,103934,104298,104677,105070,105476
Greenland,GRL,"Population, total",SP.POP.TOTL,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810
Guatemala,GTM,"Population, total",SP.POP.TOTL,9158547,9385000,9619113,9860063,10106463,10357354,10612300,10871786,11136814,11408815,11688660,11976725,12272208,12573346,12877711,13183505,13490041,13797629,14106687,14418033,14732261,15049280,15368759
Guam,GUM,"Population, total",SP.POP.TOTL,130482,133553,136696,139820,142806,145562,148060,150306,152275,153951,155328,156417,157241,157823,158194,158401,158429,158332,158310,158621,159440,160858,162807
Guyana,GUY,"Population, total",SP.POP.TOTL,720282,717502,717621,719910,723230,726695,730193,733854,737316,740189,742218,743163,743107,742537,742162,742495,743705,745638,748096,750749,753362,755883,758410
High income,HIC,"Population, total",SP.POP.TOTL,1203134914,1212307029,1219635819,1228426035,1236528925,1246418863,1254142817,1261864853,1269243042,1276558490,1283598773,1291280047,1298840755,1306317670,1314232215,1322338351,1331063161,1340501351,1350647746,1359870192,1368262960,1376081481,1382476668
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600
Honduras,HND,"Population, total",SP.POP.TOTL,4903363,5041050,5179557,5318042,5455481,5591136,5724587,5855946,5985675,6114534,6243080,6371304,6499001,6626304,6753352,6880181,7007029,7133737,7259470,7383098,7503875,7621414,7736131
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,354714206,365581300,377011630,388837016,400825087,412815898,424741843,436671177,448746908,461180538,474127024,487633972,501659710,516163015,531070213,546329345,561934621,577914150,594288511,611087950,628333588,646028823,664163813
Croatia,HRV,"Population, total",SP.POP.TOTL,4780000,4510000,4470000,4640000,4650000,4669000,4494000,4572000,4501000,4554000,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558
Haiti,HTI,"Population, total",SP.POP.TOTL,7099733,7243391,7386974,7530703,7674911,7819806,7965548,8111954,8258484,8404396,8549202,8692564,8834739,8976555,9119182,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828
Hungary,HUN,"Population, total",SP.POP.TOTL,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362
Indonesia,IDN,"Population, total",SP.POP.TOTL,181436821,184614740,187762097,190873248,193939912,196957845,199926615,202853850,205753493,208644079,211540428,214448301,217369087,220307809,223268606,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853
Isle of Man,IMN,"Population, total",SP.POP.TOTL,70312,70963,71306,71486,71726,72181,72899,73817,74853,75879,76806,77608,78318,78975,79636,80345,81110,81914,82737,83548,84327,85069,85779
